text,intent
Разрешите удалиться,farewell
Удачи в делах,farewell
До завтрашнего утра,farewell
Как погода на улице,weather
Скажи прогноз погоды на завтра,weather
Что там за окном,weather
Будет ли дождь сегодня вечером,weather
Какая температура в Москве,weather
Погода на неделю,weather
На улице холодно одеваться тепло,weather
Есть ли ветер,weather
Прогноз на выходные,weather
Сколько градусов сейчас,weather
Пойдет снег,weather
Какая погода будет через час,weather
Надо брать зонт,weather
Синоптики что говорят,weather
Погода в Питере сегодня,weather
Жарко ли там,weather
Будет ли гроза,weather
Какое сейчас атмосферное давление,weather
Узнай погоду пожалуйста,weather
Солнечно или пасмурно,weather
Какая влажность воздуха,weather
Тепло ли на юге,weather
Что обещают синоптики на завтра,weather
Погода на сегодня подробно,weather
Будет ли гололед,weather
Когда закончится дождь,weather
Стоит ли ждать ураган,weather
Какая погода в Европе сейчас,weather
Морозно ли сегодня утром,weather
Погода в моем городе,weather
Покажи карту осадков,weather
Есть ли дождь,weather
Высокий ли ультрафиолетовый индекс,weather
Снег растаял,weather
Туман сильный,weather
Град будет,weather
Температура воды в море,weather
Прогноз для рыбаков,weather
Магнитные бури сегодня,weather
Во сколько сегодня закат,weather
Будет ли сегодня солнце,weather
Обещают ли заморозки ночью,weather
Какая погода в Сочи,weather
Стоит ли мыть машину сегодня,weather
Сильный ли там ливень,weather
Когда выглянет солнышко,weather
Какая сейчас видимость на дорогах,weather
Прогноз погоды на майские праздники,weather
Будет ли сегодня пыльная буря,weather
Ожидается ли потепление к среде,weather
Какая сейчас фаза луны и небо чистое,weather
Велик ли риск града,weather
Есть ли смысл ехать на пляж,weather
Какая средняя температура за день,weather
Будет ли вечером душно,weather
Узнай погоду в Астане,weather
Много ли сегодня выпало осадков,weather
Какая погода на выходные в Подмосковье,weather
Ждать ли штормовое предупреждение,weather
Насколько сегодня ветрено,weather
Как жизнь бьет ключом,weather
Как дела,how_are_you
Как настроение,how_are_you
Как жизнь,how_are_you
Как сам,how_are_you
Что нового,how_are_you
Как поживаешь,how_are_you
Какие новости,how_are_you
Как самочувствие,how_are_you
Ну как ты,how_are_you
Как оно,how_are_you
Что слышно,how_are_you
Как успехи,how_are_you
Как делишки,how_are_you
Чем занимаешься,how_are_you
Как продвигается работа,how_are_you
Как настроение после выходных,how_are_you
Ты в порядке,how_are_you
Все ли хорошо,how_are_you
Как твои дела сегодня,how_are_you
Что интересного произошло,how_are_you
Как вы себя чувствуете,how_are_you
Как тебе быть ботом,how_are_you
Ну как жить то как,how_are_you
Как обычно грустишь или радуешься,how_are_you
Расскажи как прошел день,how_are_you
Что новенького в мире,how_are_you
Как настроение с утра,how_are_you
Ты как вообще,how_are_you
Жизнь как,how_are_you
Как самочуйствие,how_are_you
Как оно там у тебя,how_are_you
Что делаешь,how_are_you
Какие планы,how_are_you
Как идут дела на фронте,how_are_you
Как жизнь молодая,how_are_you
Ну шо как ты,how_are_you
Как здоровье,how_are_you
Как твое ничего,how_are_you
Что по настроению,how_are_you
Как прошел отпуск,how_are_you
Что у тебя на уме,how_are_you
Как успехи на личном фронте,how_are_you
Всё ли идет по плану,how_are_you
Как тебе погодка,how_are_you
Как справляешься с нагрузкой,how_are_you
Какие мысли на вечер,how_are_you
Как твое самочувствие сегодня,how_are_you
Чем сегодня дышишь,how_are_you
В каком ты сегодня духе,how_are_you
Как поживает твой процессор,how_are_you
Что в мире слышно интересного,how_are_you
Как там твои дела-делишки,how_are_you
Всё ли у тебя пучком,how_are_you
Как бодрость духа,how_are_you
Не надоело еще отвечать на вопросы,how_are_you
Как настроение в этот прекрасный день,how_are_you
Ну рассказывай как ты,how_are_you
Как полет нормальный,how_are_you
Чего нового расскажешь про себя,how_are_you
Который час,time
Скажи сколько времени,time
Точное время сейчас,time
Во сколько,time
Какое сегодня число и время,time
Сколько сейчас времени в Москве,time
Текущее время,time
Который час в Новосибирске,time
Сколько времени на часах,time
Назови дату и время,time
Когда будет полночь,time
Во сколько мне вставать,time
Который час в Нью Йорке,time
Сколько осталось до конца дня,time
Точное время с секундами,time
Какая сейчас дата,time
Время в Лондоне сейчас,time
Сколько сейчас по Гринвичу,time
Во сколько начинается вечер,time
Который час дня,time
Покажи на циферблате,time
Сколько времени будет через два часа,time
Часы сколько показывают,time
Дата сегодняшнего дня,time
В каком мы часу,time
Сколько сейчас идёт времени,time
Назови время,time
Который час в Екатеринбурге,time
Календарь и время,time
Сколько сейчас длится день,time
Во сколько заканчивается рабочий день,time
Время в моем часовом поясе,time
Точное московское время,time
Какое сегодня число недели,time
Сколько времени я здесь нахожусь,time
Во сколько наступит утро,time
Назови текущий год,time
Сколько осталось до полуночи,time
Который час по местному времени,time
Сколько сейчас времени скажи,time
Подскажи текущий час,time
Какое сегодня число месяца,time
Сколько минут до начала часа,time
В каком году мы живем,time
Назови время в Токио,time
Когда сегодня наступит рассвет,time
Сколько времени осталось до выходных,time
Подскажи время по Гринвичу,time
Назови день недели сегодня,time
Во сколько сейчас закрываются магазины,time
Какое время показывают твои часы,time
Сколько секунд в минуте сейчас прошло,time
Когда переходим на летнее время,time
Назови текущую дату и секунды,time
Который час в Калининграде,time
Долго ли еще до обеда,time
Назови точное время по атомным часам,time
Сколько времени в Берлине,time
Подскажи который сейчас час в Пекине,time
Во сколько сегодня начнется футбол,time
