text,intent
Всего хорошего,farewell
Давай прощай,farewell
Счастливо,farewell
До завтра,farewell
Покеда,farewell
Бывай,farewell
До скорого,farewell
Увидимся позже,farewall
Всего доброго,farewell
Спокойной ночи,farewell
Ладно я пошел пока,farewell
До связи,farewell
Чао,farewell
Аривидерчи,farewell
Пока пока,farewell
Прощайте,farewell
Разрешите откланяться,farewell
Ну всё отключаюсь,farewell
До вечера,farewell
Счастливого пути,farewell
Будь здоров,farewell
Хорошего дня,farewell
Ну давай не болей,farewell
Удачи тебе во всем,farewell
Всем пока я выхожу,farewell
До скорой встречи,farewell
Еще увидимся,farewell
Гуд бай,farewell
Отключаюсь всем спасибо за внимание,farewell
Пока удачной охоты,farewell
До завтра на работе,farewell
Ну всё отбой,farewell
Ладно погнал пока,farewell
До связи хорошего вечера,farewall
Салют пока,farewell
До свидания спасибо за помощь,farewell
Пока не скучай,farewell
Чао какао,farewell
Ну я пошел,farewell
Были рады пообщаться,farewell
Счастливо оставаться,farewell
До новых встреч в эфире,farewell
Ушел в закат,farewell
Кончаю связь,farewell
Береги себя,farewell
До созвона,farewell
Погнали дальше,farewell
Не поминайте лихом,farewell
Я на боковую,farewell
Разбегаемся,farewell
Увидимся в следующем году,farewell
До скорой связи,farewell
Пока всем в этом чате,farewell
Всё я оффлайн,farewell
Счастливо отдохнуть,farewell
Разрешите удалиться,farewell
Удачи в делах,farewell
пока бот,farewell
до свидания,farewell
прощай,farewell
до встречи,farewell
увидимся скоро,farewell
спокойной ночи,farewell
пока удачи,farewell
счастливо оставаться,farewell
до завтра,farewell
бай бай,farewell
чао какао,farewell
я ушел,farewell
мне пора,farewell
бывай,farewell
до связи,farewell
всего доброго,farewell
всего хорошего,farewell
до скорого,farewell
покеда,farewell
адьос,farewell
гудбай,farewell
ну я пошел,farewell
заканчиваем,farewell
стоп игра,farewell
прекратить общение,farewell
выключайся,farewell
конец связи,farewell
пока до новых встреч,farewell
доброй ночи,farewell
счастливого пути,farewell
разлогиниться,farewell
завершить сессию,farewell
пока бро,farewell
удачи тебе,farewell
до связи бот,farewell
пока увидимся,farewell
до скорых встреч,farewell
ну я отчаливаю,farewell
до следующего раза,farewell
сладких снов,farewell
ухожу в оффлайн,farewell
отключаюсь,farewell
прощайте,farewell
все пока,farewell
удачного дня,farewell
пока всем,farewell
счастливо,farewell
пока до завтра,farewell
до вечера,farewell
удачи,farewell
бывай дружище,farewell
до новых встреч бот,farewell
кончай работу,farewell
пока я спать,farewell
ну все давай,farewell
разбегаемся,farewell
пока и спасибо,farewell
через час увидимся,farewell
пока приятель,farewell
завершить работу,farewell
Как погода на улице,weather
Скажи прогноз погоды на завтра,weather
Что там за окном,weather
Будет ли дождь сегодня вечером,weather
Какая температура в Москве,weather
Погода на неделю,weather
На улице холодно одеваться тепло,weather
Есть ли ветер,weather
Прогноз на выходные,weather
Сколько градусов сейчас,weather
Пойдет снег,weather
Какая погода будет через час,weather
Надо брать зонт,weather
Синоптики что говорят,weather
Погода в Питере сегодня,weather
Жарко ли там,weather
Будет ли гроза,weather
Какое сейчас атмосферное давление,weather
Узнай погоду пожалуйста,weather
Солнечно или пасмурно,weather
Какая влажность воздуха,weather
Тепло ли на юге,weather
Что обещают синоптики на завтра,weather
Погода на сегодня подробно,weather
Будет ли гололед,weather
Когда закончится дождь,weather
Стоит ли ждать ураган,weather
Какая погода в Европе сейчас,weather
Морозно ли сегодня утром,weather
Погода в моем городе,weather
Покажи карту осадков,weather
Есть ли дождь,weather
Высокий ли ультрафиолетовый индекс,weather
Снег растаял,weather
Туман сильный,weather
Град будет,weather
Температура воды в море,weather
Прогноз для рыбаков,weather
Магнитные бури сегодня,weather
Во сколько сегодня закат,weather
Будет ли сегодня солнце,weather
Обещают ли заморозки ночью,weather
Какая погода в Сочи,weather
Стоит ли мыть машину сегодня,weather
Сильный ли там ливень,weather
Когда выглянет солнышко,weather
Какая сейчас видимость на дорогах,weather
Прогноз погоды на майские праздники,weather
Будет ли сегодня пыльная буря,weather
Ожидается ли потепление к среде,weather
Какая сейчас фаза луны и небо чистое,weather
Велик ли риск града,weather
Есть ли смысл ехать на пляж,weather
Какая средняя температура за день,weather
Будет ли вечером душно,weather
Узнай погоду в Астане,weather
Много ли сегодня выпало осадков,weather
Какая погода на выходные в Подмосковье,weather
Ждать ли штормовое предупреждение,weather
Насколько сегодня ветрено,weather
какой прогноз на сегодня,weather
нужна сводка по погоде,weather
расскажи про погоду,weather
что там на улице,weather
градусник что показывает,weather
будет ли сегодня дождь,weather
солнечно ли на улице,weather
мне нужно знать погоду,weather
подскажи температуру за окном,weather
идти с зонтом или нет,weather
какая обстановка с погодой,weather
сильный ли ветер,weather
прогноз погоды на текущий момент,weather
погода сейчас,weather
холодно ли на улице,weather
какие новости по погоде,weather
есть ли смысл брать куртку,weather
что с погодой,weather
тепло ли сегодня,weather
пасмурно или ясно,weather
узнай погоду для меня,weather
дай прогноз,weather
что по метеоусловиям,weather
атмосферное давление и температура,weather
подскажи погодные условия,weather
какой сегодня климат,weather
есть ли осадки,weather
жарко сегодня будет,weather
прогноз на ближайшие часы,weather
расскажи о погоде подробно,weather
погода в моем регионе,weather
сводка погоды на сегодня,weather
какая видимость на улице,weather
ветер сильный сегодня,weather
температура воздуха сейчас,weather
метеосводка,weather
глянь че там по погоде,weather
дождь намечается,weather
снег идет или нет,weather
какая влажность воздуха,weather
погода на этот час,weather
есть ли штормовое предупреждение,weather
погода для прогулки,weather
одеваться тепло или нет,weather
какое небо сейчас,weather
солнце светит сегодня,weather
погода онлайн,weather
узнай температуру,weather
хочу знать погоду,weather
проверь погоду плиз,weather
метеопрогноз,weather
данные о погоде,weather
выдай погоду,weather
погода какая,weather
скажи погоду быстро,weather
погода на текущий день,weather
есть ли туман,weather
прогноз на день,weather
градусы на улице,weather
погода на сегодня какая,weather
Как дела,how_are_you
Как настроение,how_are_you
Как жизнь,how_are_you
Как сам,how_are_you
Что нового,how_are_you
Как поживаешь,how_are_you
Какие новости,how_are_you
Как самочувствие,how_are_you
Ну как ты,how_are_you
Как оно,how_are_you
Что слышно,how_are_you
Как успехи,how_are_you
Как делишки,how_are_you
Чем занимаешься,how_are_you
Как продвигается работа,how_are_you
Как настроение после выходных,how_are_you
Ты в порядке,how_are_you
Все ли хорошо,how_are_you
Как твои дела сегодня,how_are_you
Что интересного произошло,how_are_you
Как вы себя чувствуете,how_are_you
Как тебе быть ботом,how_are_you
Ну как жить то как,how_are_you
Как обычно грустишь или радуешься,how_are_you
Расскажи как прошел день,how_are_you
Что новенького в мире,how_are_you
Как настроение с утра,how_are_you
Ты как вообще,how_are_you
Жизнь как,how_are_you
Как самочуйствие,how_are_you
Как оно там у тебя,how_are_you
Что делаешь,how_are_you
Какие планы,how_are_you
Как идут дела на фронте,how_are_you
Как жизнь молодая,how_are_you
Ну шо как ты,how_are_you
Как здоровье,how_are_you
Как твое ничего,how_are_you
Что по настроению,how_are_you
Как прошел отпуск,how_are_you
Что у тебя на уме,how_are_you
Как успехи на личном фронте,how_are_you
Всё ли идет по плану,how_are_you
Как тебе погодка,how_are_you
Как справляешься с нагрузкой,how_are_you
Какие мысли на вечер,how_are_you
Как твое самочувствие сегодня,how_are_you
Чем сегодня дышишь,how_are_you
В каком ты сегодня духе,how_are_you
Как поживает твой процессор,how_are_you
Что в мире слышно интересного,how_are_you
Как там твои дела-делишки,how_are_you
Всё ли у тебя пучком,how_are_you
Как бодрость духа,how_are_you
Не надоело еще отвечать на вопросы,how_are_you
Как настроение в этот прекрасный день,how_are_you
Ну рассказывай как ты,how_are_you
Как полет нормальный,how_are_you
Чего нового расскажешь про себя,how_are_you
как дела,how_are_you
как ты бот,how_are_you
как жизнь,how_are_you
как успехи,how_are_you
как настроение,how_are_you
че как,how_are_you
как делишки,how_are_you
все нормально,how_are_you
как поживаешь,how_are_you
как самочувствие,how_are_you
как идет работа,how_are_you
как прогресс,how_are_you
что нового,how_are_you
как ощущения,how_are_you
как обстановка,how_are_you
как дела у тебя,how_are_you
как твое ничего,how_are_you
как твои дела бот,how_are_you
как настроение сегодня,how_are_you
все ок,how_are_you
как бодрость духа,how_are_you
как день проходит,how_are_you
как сам,how_are_you
как оно,how_are_you
как твоя жизнь программная,how_are_you
как твои успехи,how_are_you
как твои дела,how_are_you
как твои делишки,how_are_you
как настроение твое,how_are_you
как самочувствие у тебя,how_are_you
как поживает мой бот,how_are_you
как работается,how_are_you
как твой день,how_are_you
как летит время,how_are_you
как твои новости,how_are_you
все в порядке,how_are_you
как жизнь молодая,how_are_you
как ты сегодня,how_are_you
как твои дела в облаке,how_are_you
как твои дела на сервере,how_are_you
как дела дружище,how_are_you
как настроение дружище,how_are_you
как дела у моего бота,how_are_you
как твои системные дела,how_are_you
как дела вообще,how_are_you
как поживаешь ботик,how_are_you
как твои дела сегодня,how_are_you
как твоя жизнь,how_are_you
как твои новости сегодня,how_are_you
как твои дела старина,how_are_you
как твои дела бро,how_are_you
как твои дела солнце,how_are_you
как твои дела милый бот,how_are_you
как твои дела радость моя,how_are_you
как твои дела приятель,how_are_you
как твои дела друг,how_are_you
как твои дела товарищ,how_are_you
как твои дела ботяра,how_are_you
как твои дела программка,how_are_you
как твои дела алгоритм,how_are_you
Который час,time
Скажи сколько времени,time
Точное время сейчас,time
Во сколько,time
Какое сегодня число и время,time
Сколько сейчас времени в Москве,time
Текущее время,time
Который час в Новосибирске,time
Сколько времени на часах,time
Назови дату и время,time
Когда будет полночь,time
Во сколько мне вставать,time
Который час в Нью Йорке,time
Сколько осталось до конца дня,time
Точное время с секундами,time
Какая сейчас дата,time
Время в Лондоне сейчас,time
Сколько сейчас по Гринвичу,time
Во сколько начинается вечер,time
Который час дня,time
Покажи на циферблате,time
Сколько времени будет через два часа,time
Часы сколько показывают,time
Дата сегодняшнего дня,time
В каком мы часу,time
Сколько сейчас идёт времени,time
Назови время,time
Который час в Екатеринбурге,time
Календарь и время,time
Сколько сейчас длится день,time
Во сколько заканчивается рабочий день,time
Время в моем часовом поясе,time
Точное московское время,time
Какое сегодня число недели,time
Сколько времени я здесь нахожусь,time
Во сколько наступит утро,time
Назови текущий год,time
Сколько осталось до полуночи,time
Который час по местному времени,time
Сколько сейчас времени скажи,time
Подскажи текущий час,time
Какое сегодня число месяца,time
Сколько минут до начала часа,time
В каком году мы живем,time
Назови время в Токио,time
Когда сегодня наступит рассвет,time
Сколько времени осталось до выходных,time
Подскажи время по Гринвичу,time
Назови день недели сегодня,time
Во сколько сейчас закрываются магазины,time
Какое время показывают твои часы,time
Сколько секунд в минуте сейчас прошло,time
Когда переходим на летнее время,time
Назови текущую дату и секунды,time
Который час в Калининграде,time
Долго ли еще до обеда,time
Назови точное время по атомным часам,time
Сколько времени в Берлине,time
Подскажи который сейчас час в Пекине,time
Во сколько сегодня начнется футбол,time
который час,time
сколько времени,time
подскажи время,time
скажи который час,time
время,time
сколько сейчас времени,time
точное время,time
который сейчас час,time
подскажи текущее время,time
скажи время сейчас,time
время какое сейчас,time
сколько на часах,time
подскажи который час,time
который час сейчас,time
скажи время,time
подскажи сколько времени,time
точное время скажи,time
текущее время,time
время сейчас какое,time
сколько времени на часах,time
назови время,time
подскажи время сейчас,time
скажи точное время,time
напомни время,time
час какой сейчас,time
время какое на часах,time
сколько времени сейчас,time
который час подскажи,time
напиши время,time
скажи сколько сейчас времени,time
точное московское время,time
время напомни,time
подскажи сколько на часах,time
время назови,time
скажи текущее время,time
сколько времени у нас,time
час какой,time
время какое,time
подскажи время плиз,time
время скажи,time
сколько времени набежало,time
который час в данный момент,time
время в данный момент,time
назови точное время,time
сколько там времени,time
какой час сейчас идет,time
время сейчас напомни,time
подскажи точное время,time
сколько сейчас натикало,time
назови текущее время,time
время напомнишь,time
сколько времени скажи,time
который час на дворе,time
время в цифрах,time
подскажи часы,time
скажи сколько времени сейчас,time
назови сколько времени,time
который сейчас час на часах,time
время плиз,time
сколько времени дружище,time
какое сегодня число,date
какая сегодня дата,date
скажи сегодняшнюю дату,date
число сегодня какое,date
сегодняшнее число,date
подскажи число,date
напомни дату,date
назови дату,date
текущая дата,date
какое сегодня число и месяц,date
какая сейчас дата,date
назови сегодняшнее число,date
напиши дату,date
дата сегодня,date
сегодняшнее число подскажи,date
че за число сегодня,date
какой сегодня день месяца,date
число,date
дата,date
че по дате,date
какой день сегодня по календарю,date
в календаре что сегодня,date
глянь дату,date
дату скажи,date
эй какое число,date
а сегодня какое,date
напомнишь дату,date
не помню число,date
какой сейчас день,date
а дата какая,date
подскажите пожалуйста какая сегодня дата,date
не могли бы вы сказать число,date
будьте добры сегодняшнюю дату,date
я хотел бы узнать число,date
вы не подскажете какое сегодня число,date
скажи мне пожалуйста дату,date
можешь сказать какое сегодня число,date
будь любезен назови дату,date
мне нужно узнать текущую дату,date
сориентируй по дате,date
скажи дату если не сложно,date
очень нужно знать сегодняшнее число,date
напомни мне пожалуйста дату,date
я запутался в днях какая сегодня дата,date
подскажи который сегодня день месяца,date
текущий день месяца,date
сегодняшняя дата по календарю,date
какое число у нас сегодня,date
какое там сегодня число,date
какая дата на данный момент,date
напомни число месяца,date
скажи дату дня,date
какое сегодня число в календаре,date
назови текущее число и год,date
дата дня сегодня,date
ну ка какая дата,date
какое сегодня наступило число,date
сегодняшнее число месяца,date
напомни текущую дату,date
подскажи плиз дату,date
какое сегодня число месяца,date
текущая дата сегодня,date
скажи дату дня,date
число в календаре сегодня,date
подскажи нынешнюю дату,date
дата на данный момент,date
какой сегодня год и число,date
напомни текущую дату,date
сегодняшнее число назови,date
какое сегодня наступило число,date
какая сейчас дата в календаре,date
скажи число текущее,date
дата какая сегодня,date
напиши сегодняшнюю дату,date
подскажи число месяца,date
какой сейчас год месяц число,date
сегодняшний день в календаре,date
дата на сегодня,date
глянь дату на сегодня,date
назови сегодняшнюю дату,date
какое число сейчас,date
текущий день месяца,date
какая сегодня на календаре дата,date
сегодня какое число напомни,date
подскажи сегодняшний день,date
дата в формате день месяц год,date
какой сегодня день от начала месяца,date
число сегодня,date
какой год и число сегодня,date
скажи точную дату,date
дата этого дня,date
какой месяц и число,date
подскажи сегодняшнюю дату плиз,date
текущее число напомнишь,date
число текущего дня,date
календарное число сегодня,date
сегодняшняя дата,date
какой там сегодня день месяца,date
скажи дату и год,date
число на сегодня,date
какая нынче дата,date
подскажи дату на сегодня,date
число какое сейчас,date
сегодняшняя дата какая,date
скажи число месяца сегодня,date
назови дату плиз,date
подскажи сегодняшний календарный день,date
какой сегодня номер дня,date
число на текущий момент,date
какая сегодня официальная дата,date
назови дату этого дня,date
сегодняшнее число в истории,date
подскажи нынешнее число,date
какая сегодня цифра в календаре,date
число и месяц назови,date
какая сегодня полная дата,date
скажи число и месяц,date
текущий календарный день,date
подскажи дату сейчас,date
какое число сегодня наступило,date
что ты умеешь,help
твои возможности,help
помощь,help
хелп,help
что мне делать,help
помоги мне,help
подскажи команды,help
список команд,help
как тобой пользоваться,help
какие функции у тебя есть,help
что ты можешь делать,help
зачем ты нужен,help
опиши свои навыки,help
с чем ты можешь помочь,help
какая у тебя функциональность,help
что умеет этот бот,help
инструкция,help
расскажи о себе,help
давай справку,help
справка по командам,help
какой у тебя функционал,help
что ты понимаешь,help
какие запросы тебе слать,help
напиши что ты умеешь,help
покажи свои скиллы,help
покажи меню помощи,help
нужна подсказка,help
выведи помощь,help
помоги разобраться,help
что здесь можно делать,help
какую инфу ты даешь,help
подскажи свои опции,help
продемонстрируй навыки,help
список твоих умений,help
перечисли свои таланты,help
какие задачи ты решаешь,help
давай хелп,help
нужна помощь,help
расскажи что умеешь,help
какие есть команды,help
что тут писать,help
помоги мне туплю,help
давай по функциям,help
сделай обзор своих возможностей,help
кратко о твоих навыках,help
ознакомь меня с собой,help
что ты можешь предложить,help
какие фичи у тебя есть,help
какие сервисы работают,help
подскажи по боту,help
инфо по боту,help
что ты за бот,help
как с тобой общаться,help
поясни за функционал,help
нужна инструкция пользователя,help
выведи список скиллов,help
что ты умеешь делать лучше всего,help
давай справку по функциям,help
расскажи про свои команды,help
че по командам,help
что ты можешь делать,help
подскажи свой функционал,help
какие команды ты понимаешь,help
выведи список своих умений,help
расскажи о своих функциях,help
зачем мне этот бот,help
какие задачи ты решаешь,help
как мне с тобой работать,help
нужна помощь по боту,help
напиши инструкцию,help
какие у тебя есть скиллы,help
что ты умеешь лучше всего,help
покажи свои возможности,help
справка по использованию,help
какой функционал доступен,help
что ты можешь предложить пользователю,help
дай краткий обзор своих функций,help
перечисли свои основные команды,help
что здесь можно спросить,help
подскажи что писать,help
как пользоваться твоими услугами,help
что в тебя заложено,help
какая польза от тебя,help
опиши свои возможности кратко,help
покажи панель помощи,help
что ты за программа,help
какие вопросы тебе задавать,help
инфо о боте,help
краткое руководство,help
что входит в твои обязанности,help
как с тобой взаимодействовать,help
дай перечень доступных функций,help
нужна подсказка по командам,help
что ты умеешь на данный момент,help
какие опции у тебя есть,help
расскажи про свои таланты,help
что ты можешь мне рассказать,help
поясни за свои навыки,help
выдай справку по боту,help
как ты работаешь,help
что ты за помощник,help
какие у тебя есть модули,help
чем ты можешь быть полезен,help
научи меня пользоваться тобой,help
какие команды тут главные,help
что ты понимаешь из речи,help
дай обзор способностей,help
какие есть варианты команд,help
расскажи про свой интерфейс,help
нужна помощь в навигации,help
подскажи по своим фишкам,help
какой софт в тебе стоит,help
что ты умеешь делать со словами,help
покажи меню команд,help
сделай краткую презентацию себя,help
какие есть возможности у бота,help
подскажи по использованию,help
что ты можешь выдать,help
назови все свои функции,help
че по функциям у нас,help
